Time,Hashrate
2026-03-21 13:24:28,0.00
2026-03-21 13:24:37,0.00
2026-03-21 13:24:38,0.00
2026-03-21 13:30:02,0.00
2026-03-21 13:30:10,0.00
2026-03-21 13:30:12,0.00
2026-03-21 13:30:22,0.00
2026-03-21 13:31:55,0.00
2026-03-21 13:32:04,118.88
2026-03-21 13:32:04,118.88
2026-03-21 13:32:05,118.88
2026-03-21 13:32:15,120.53
2026-03-21 13:32:15,120.53
2026-03-21 13:32:25,120.53
2026-03-21 13:32:35,120.53
2026-03-21 13:32:45,122.00
2026-03-21 13:32:45,122.00
2026-03-21 13:32:55,122.00
2026-03-21 13:33:05,122.00
2026-03-21 13:33:15,118.96
2026-03-21 13:33:15,118.96
2026-03-21 13:33:22,120.38
2026-03-21 13:33:25,120.38
2026-03-21 13:33:35,120.38
2026-03-21 13:33:45,118.81
2026-03-21 13:33:45,118.81
2026-03-21 13:33:55,118.81
2026-03-21 13:34:05,118.81
2026-03-21 13:34:15,119.29
2026-03-21 13:34:15,119.29
2026-03-21 13:34:22,121.41
2026-03-21 13:34:25,121.41
2026-03-21 13:54:58,0.00
2026-03-21 13:55:06,119.72
2026-03-21 13:55:06,119.72
2026-03-21 13:55:08,119.72
2026-03-21 13:55:18,120.38
2026-03-21 13:55:18,120.38
2026-03-21 13:55:28,120.38
2026-03-21 13:55:38,120.38
2026-03-21 13:55:48,118.23
2026-03-21 13:55:48,118.23
2026-03-21 13:59:50,0.00
2026-03-21 13:59:58,121.05
2026-03-21 13:59:59,121.05
2026-03-21 14:00:00,121.05
2026-03-21 14:00:10,120.39
2026-03-21 14:00:10,120.39
2026-03-21 14:00:20,120.39
2026-03-21 14:00:30,120.39
2026-03-21 14:00:40,121.71
2026-03-21 14:00:40,121.71
2026-03-21 14:00:50,121.71
2026-03-21 16:51:13,0.00
2026-03-21 16:51:21,119.95
2026-03-21 16:51:21,119.95
2026-03-21 16:51:23,119.95
2026-03-21 16:51:33,119.60
2026-03-21 16:51:33,119.60
2026-03-21 16:51:43,119.60
2026-03-22 14:29:34,0.00
